Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Al 1',      2074.68200,    0.000, -4.555, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2074.73600,    0.000, -3.067, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2074.92900,    0.000, -4.518, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2074.98700,    0.000, -3.029, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2075.19800,    0.000, -4.480, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2075.26200,    0.000, -2.990, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2075.49400,    0.000, -4.441, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2075.56500,    0.000, -2.950, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2075.82000,    0.000, -4.401, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2075.89800,    0.000, -2.909, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2076.17900,    0.000, -4.360, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2076.23600,    0.014, -3.890, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2076.23600,    0.014, -4.837, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2076.25100,    0.014, -5.294, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2076.25500,    0.014, -3.873, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2076.25500,    0.014, -4.821, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2076.26600,    0.000, -2.866, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2076.27100,    0.014, -5.278, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2076.27600,    0.014, -3.857, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2076.27600,    0.014, -4.804, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
