Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Mg 1',      2513.44300,    2.712, -3.601, 4.180, 1.040,-5.290, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.44400,    2.712, -5.355, 3.820, 1.040,-5.290, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.46600,    2.709, -5.473, 4.180, 0.420,-5.490, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.47200,    2.712, -3.269, 4.200, 1.030,-5.300, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.47200,    2.712, -3.570, 4.200, 1.030,-5.300, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.49600,    2.712, -3.580, 4.200, 1.010,-5.300, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.49700,    2.712, -5.335, 3.840, 1.010,-5.300, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.52700,    2.712, -3.249, 4.220, 0.990,-5.310, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.52700,    2.712, -3.550, 4.220, 0.990,-5.310, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.53400,    2.709, -3.075, 4.570, 0.400,-5.500, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.55200,    2.712, -3.560, 4.220, 0.980,-5.310, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.55300,    2.712, -5.315, 3.860, 0.970,-5.320, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.58400,    2.712, -3.228, 4.240, 0.960,-5.320, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.58400,    2.712, -3.529, 4.240, 0.960,-5.320, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.59300,    2.709, -5.446, 4.200, 0.380,-5.510, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.61000,    2.712, -3.539, 4.240, 0.940,-5.330, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.61100,    2.712, -5.294, 3.880, 0.940,-5.330, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.64400,    2.712, -3.207, 4.260, 0.920,-5.330, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.64400,    2.712, -3.508, 4.260, 0.920,-5.330, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.66500,    2.709, -3.048, 4.600, 0.350,-5.510, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.67200,    2.712, -3.518, 4.260, 0.900,-5.340, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.67300,    2.712, -5.273, 3.900, 0.900,-5.340, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.70800,    2.712, -3.185, 4.280, 0.880,-5.340, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.70800,    2.712, -3.486, 4.280, 0.880,-5.340, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.72800,    2.709, -5.419, 4.230, 0.330,-5.520, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.73700,    2.712, -3.496, 4.280, 0.870,-5.350, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.73800,    2.712, -5.252, 3.920, 0.870,-5.350, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.77400,    2.712, -3.163, 4.310, 0.850,-5.360, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.77400,    2.712, -3.464, 4.310, 0.850,-5.360, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.80400,    2.709, -3.020, 4.630, 0.310,-5.530, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.80400,    2.712, -3.474, 4.310, 0.830,-5.360, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
