Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'O 1',       4368.25800,    9.521, -2.186, 0.000, 0.000,-7.946, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   2 BPM   2 BPM   2 BPM   2 BPM              O'
'O 1',       4654.11700,   10.740, -2.855, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4654.11800,   10.740, -2.502, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4654.11900,   10.740, -2.610, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4654.55600,   10.741, -2.978, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4654.55700,   10.741, -2.389, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4654.55900,   10.741, -2.185, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4655.35400,   10.741, -3.331, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4655.35600,   10.741, -2.488, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4655.35700,   10.741, -1.900, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4772.44800,   10.740, -2.621, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4772.44900,   10.740, -2.269, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4772.45100,   10.740, -2.378, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4772.90900,   10.741, -2.746, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4772.91100,   10.741, -2.157, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4772.91400,   10.741, -1.952, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4773.74900,   10.741, -3.099, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4773.75200,   10.741, -2.254, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4773.75300,   10.741, -1.667, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4801.66700,   10.740, -2.344, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4802.13400,   10.741, -2.122, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4802.98200,   10.741, -1.976, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4967.37600,   10.740, -2.328, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4967.37800,   10.740, -1.977, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4967.38100,   10.740, -2.086, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4967.87700,   10.741, -2.455, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4967.88000,   10.741, -1.865, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4967.88400,   10.741, -1.660, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4968.78800,   10.741, -2.807, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4968.79100,   10.741, -1.961, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4968.79400,   10.741, -1.373, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       5018.78200,   10.740, -2.092, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       5019.29100,   10.741, -1.871, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       5020.21800,   10.741, -1.724, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       5131.14000,   10.989, -2.831, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       5131.14000,   10.989, -3.307, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       5131.29000,   10.989, -2.559, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       5131.29000,   10.989, -3.308, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       5131.29000,   10.989, -4.484, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
