Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Ca 1',      2148.84721,    1.886, -4.729, 5.860,-3.050,-6.670,  0.980,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2148.99043,    1.886, -2.140, 7.440,-3.500,-7.150,  1.010,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2149.02277,    1.886, -6.893, 6.350,-2.670,-6.600,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2149.12811,    1.899, -4.285, 6.430,-2.550,-6.610,  1.170,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2149.69467,    1.879, -3.781, 5.890,-2.540,-6.680,  1.140,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2149.92586,    1.879, -3.327, 6.200,-2.570,-6.700,  0.860,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2150.40419,    1.899, -7.927, 6.520,-2.560,-6.600,  1.360,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2150.50597,    1.899, -5.389, 6.460,-2.420,-6.600,  2.000,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2150.61332,    1.886, -5.928, 5.420,-2.470,-6.660,  1.360,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2150.79500,    0.000, -1.900, 7.693,-4.107,-6.961,  1.000,'   2 wl:Sh   2 Sh   2 gf:Sh   2 Sh   2 Sh   2 Sh   2 Sh             Ca'
'Ca 1',      2150.99188,    1.899, -5.135, 6.480,-2.520,-6.600,  1.320,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2151.49922,    1.879, -4.261, 5.470,-2.550,-6.660,  0.790,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2152.10891,    1.886, -4.434, 5.890,-2.540,-6.680,  1.320,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2152.11262,    1.899, -5.222, 6.520,-2.610,-6.600,  1.350,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2152.13115,    1.899, -2.969, 6.790,-2.540,-6.610,  0.680,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2152.28037,    1.886, -2.117, 6.860,-2.490,-6.750,  0.950,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2152.33134,    1.886, -4.372, 5.940,-2.100,-6.710,  0.480,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2152.34061,    1.886, -3.439, 6.210,-2.570,-6.700,  1.180,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2152.52972,    1.899, -5.210, 6.340,-2.650,-6.600,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2152.78933,    1.899, -7.549, 6.780,-2.560,-6.610,  1.110,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2153.74951,    1.899, -5.414, 5.860,-3.050,-6.670,  1.330,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2153.89338,    1.899, -3.457, 7.440,-3.500,-7.150,  1.990,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2153.91751,    1.886, -4.759, 5.480,-2.550,-6.660,  1.150,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2155.12029,    1.886, -2.653, 6.480,-2.390,-6.750,  0.700,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2155.52368,    1.899, -4.729, 5.410,-2.470,-6.660,  1.650,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2155.55157,    1.899, -4.348, 5.420,-2.660,-6.660,  0.900,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2157.02612,    1.899, -4.460, 5.890,-2.540,-6.680,  1.680,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2157.03543,    1.899, -5.575, 5.930,-2.550,-6.660,  0.650,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2157.12657,    1.879, -3.188, 6.670,-2.290,-6.680,  0.510,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2157.19836,    1.899, -2.775, 6.860,-2.490,-6.750,  1.320,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
